Country,Year,y_true,y_pred_lr,y_pred_svr,error_lr,error_svr,abs_error_lr,abs_error_svr
Sweden,2002.0,79.8463414634146,78.06503552405499,79.24118723951318,1.781305939359612,0.6051542239014225,1.781305939359612,0.6051542239014225
Panama,2001.0,74.414,70.2736029676217,70.50321202966707,4.140397032378303,3.910787970332933,4.140397032378303,3.910787970332933
Fiji,2008.0,66.935,70.70652460026064,69.55933932045649,-3.7715246002606335,-2.6243393204564853,3.7715246002606335,2.6243393204564853
Bhutan,2013.0,69.707,70.09108293517194,70.05128160309977,-0.38408293517194636,-0.3442816030997733,0.38408293517194636,0.3442816030997733
United Kingdom,2019.0,81.4048780487805,80.01492793546554,82.13520512114835,1.389950113314967,-0.7303270723678423,1.389950113314967,0.7303270723678423
Nepal,2016.0,68.776,70.64767965294223,69.89856850188104,-1.871679652942234,-1.122568501881048,1.871679652942234,1.122568501881048
Bosnia and Herzegovina,2000.0,74.496,74.65815365409371,75.41266815875757,-0.1621536540937143,-0.9166681587575738,0.1621536540937143,0.9166681587575738
"Egypt, Arab Rep.",2000.0,68.007,67.63474441949694,68.59596544391363,0.3722555805030652,-0.5889654439136223,0.3722555805030652,0.5889654439136223
Tajikistan,2004.0,66.028,64.89726028535273,63.457162520856926,1.1307397146472766,2.57083747914308,1.1307397146472766,2.57083747914308
Bermuda,2021.0,79.28,84.74373456802388,80.39104170401266,-5.463734568023881,-1.1110417040126634,5.463734568023881,1.1110417040126634
Netherlands,2017.0,81.7609756097561,80.08752979210466,79.21495242872575,1.6734458176514408,2.5460231810303497,1.6734458176514408,2.5460231810303497
Malta,2021.0,82.8609756097561,77.06053346892087,81.41691589186439,5.80044214083523,1.4440597178917045,5.80044214083523,1.4440597178917045
Nauru,2008.0,58.833,67.009154832321,64.84865662869913,-8.176154832321004,-6.0156566286991335,8.176154832321004,6.0156566286991335
Solomon Islands,2000.0,67.225,68.03177831381262,67.69171940412505,-0.8067783138126288,-0.4667194041250582,0.8067783138126288,0.4667194041250582
Belgium,2018.0,81.5951219512195,79.1622793274134,80.12539942142091,2.4328426238060956,1.469722529798588,2.4328426238060956,1.469722529798588
United Arab Emirates,2017.0,79.504,78.94752800856341,79.04821161930111,0.5564719914365952,0.45578838069889116,0.5564719914365952,0.45578838069889116
Nepal,2018.0,68.979,71.46798072007226,70.78985761206539,-2.488980720072263,-1.8108576120653908,2.488980720072263,1.8108576120653908
Papua New Guinea,2005.0,61.801,63.93938171422844,63.995377145705795,-2.138381714228437,-2.1943771457057935,2.138381714228437,2.1943771457057935
Latvia,2020.0,75.1853658536585,76.31792048272064,75.82080092915746,-1.1325546290621418,-0.635435075498961,1.1325546290621418,0.635435075498961
North Macedonia,2004.0,73.5975609756098,73.90514830916908,73.14892016031554,-0.30758733355928314,0.4486408152942545,0.30758733355928314,0.4486408152942545
Montenegro,2003.0,73.9317317073171,74.0611401102642,74.94726138006251,-0.12940840294710654,-1.0155296727454157,0.12940840294710654,1.0155296727454157
Afghanistan,2011.0,61.419,59.332124944143075,59.7205025370333,2.086875055856922,1.6984974629666993,2.086875055856922,1.6984974629666993
Gabon,2020.0,66.531,68.50526240258634,66.87760653090568,-1.9742624025863336,-0.3466065309056745,1.9742624025863336,0.3466065309056745
Grenada,2012.0,75.042,73.27519023513165,73.55897005950384,1.7668097648683556,1.4830299404961664,1.7668097648683556,1.4830299404961664
Israel,2008.0,80.9512195121951,77.21205430510591,78.86983213615528,3.7391652070891865,2.081387376039814,3.7391652070891865,2.081387376039814
Zambia,2019.0,62.793,63.95254211376115,62.90973257271364,-1.1595421137611481,-0.11673257271363724,1.1595421137611481,0.11673257271363724
