Country,Year,y_true,y_pred_lr,y_pred_svr,error_lr,error_svr,abs_error_lr,abs_error_svr
Sweden,2002.0,79.8463414634146,78.06503552405499,79.24135260997471,1.781305939359612,0.6049888534398917,1.781305939359612,0.6049888534398917
Panama,2001.0,74.414,70.27360296762168,70.50338016652478,4.140397032378317,3.9106198334752236,4.140397032378317,3.9106198334752236
Fiji,2008.0,66.935,70.70652460026065,69.55938048154046,-3.7715246002606477,-2.624380481540456,3.7715246002606477,2.624380481540456
Bhutan,2013.0,69.707,70.09108293517194,70.05128846982046,-0.38408293517194636,-0.34428846982046934,0.38408293517194636,0.34428846982046934
United Kingdom,2019.0,81.4048780487805,80.01492793546554,82.13510013089159,1.389950113314967,-0.7302220821110836,1.389950113314967,0.7302220821110836
Nepal,2016.0,68.776,70.64767965294223,69.89865293280259,-1.871679652942234,-1.1226529328025947,1.871679652942234,1.1226529328025947
Bosnia and Herzegovina,2000.0,74.496,74.65815365409371,75.4131070659555,-0.1621536540937143,-0.9171070659555056,0.1621536540937143,0.9171070659555056
"Egypt, Arab Rep.",2000.0,68.007,67.63474441949693,68.59601296207654,0.3722555805030794,-0.5890129620765379,0.3722555805030794,0.5890129620765379
Tajikistan,2004.0,66.028,64.89726028535274,63.457097135424064,1.1307397146472624,2.5709028645759417,1.1307397146472624,2.5709028645759417
Bermuda,2021.0,79.28,84.74373456802391,80.39097342073745,-5.463734568023909,-1.1109734207374515,5.463734568023909,1.1109734207374515
Netherlands,2017.0,81.7609756097561,80.08752979210466,79.21497921849597,1.6734458176514408,2.5459963912601324,1.6734458176514408,2.5459963912601324
Malta,2021.0,82.8609756097561,77.06053346892088,81.41684666947793,5.800442140835216,1.444128940278162,5.800442140835216,1.444128940278162
Nauru,2008.0,58.833,67.009154832321,64.8483639145707,-8.176154832321004,-6.015363914570699,8.176154832321004,6.015363914570699
Solomon Islands,2000.0,67.225,68.03177831381261,67.69163413009238,-0.8067783138126146,-0.4666341300923875,0.8067783138126146,0.4666341300923875
Belgium,2018.0,81.5951219512195,79.16227932741342,80.12513960854713,2.4328426238060814,1.4699823426723668,2.4328426238060814,1.4699823426723668
